Year,Month,Longitude,Latitude,S-S1,S-Median,S-S5,S-Mean,S-Observation number,S-Standard deviation,S-Mean day of the month,S-Fraction of daylight observations,A-S1,A-Median,A-S5,A-Mean,A-Observation number,A-Standard deviation,A-Mean day of the month,A-Fraction of daylight observations,Q-S1,Q-Median,Q-S5,Q-Mean,Q-Observation number,Q-Standard deviation,Q-Mean day of the month,Q-Fraction of daylight observations,R-S1_x,R-Median_x,R-S5_x,R-Mean_x,R-Observation number_x,R-Standard deviation_x,R-Mean day of the month_x,R-Fraction of daylight observations_x,R-Mean Longitude_x,R-Mean Latitude_x,W-S1,W-Median,W-S5,W-Mean,W-Observation number,W-Standard deviation,W-Mean day of the month,W-Fraction of daylight observations,U-S1,U-Median,U-S5,U-Mean,U-Observation number,U-Standard deviation,U-Mean day of the month,U-Fraction of daylight observations,V-S1,V-Median,V-S5,V-Mean,V-Observation number,V-Standard deviation,V-Mean day of the month,V-Fraction of daylight observations,P-S1,P-Median,P-S5,P-Mean,P-Observation number,P-Standard deviation,P-Mean day of the month,P-Fraction of daylight observations,C-S1,C-Median,C-S5,C-Mean,C-Observation number,C-Standard deviation,C-Mean day of the month,C-Fraction of daylight observations,R-S1_y,R-Median_y,R-S5_y,R-Mean_y,R-Observation number_y,R-Standard deviation_y,R-Mean day of the month_y,R-Fraction of daylight observations_y,R-Mean Longitude_y,R-Mean Latitude_y,X=W*U-S1,X=W*U-Median,X=W*U-S5,X=W*U-Mean,X=W*U-Observation number,X=W*U-Standard deviation,X=W*U-Mean day of the month,X=W*U-Fraction of daylight observations,Y=W*V-S1,Y=W*V-Median,Y=W*V-S5,Y=W*V-Mean,Y=W*V-Observation number,Y=W*V-Standard deviation,Y=W*V-Mean day of the month,Y=W*V-Fraction of daylight observations,I=U*A-S1,I=U*A-Median,I=U*A-S5,I=U*A-Mean,I=U*A-Observation number,I=U*A-Standard deviation,I=U*A-Mean day of the month,I=U*A-Fraction of daylight observations,J=V*A-S1,J=V*A-Median,J=V*A-S5,J=V*A-Mean,J=V*A-Observation number,J=V*A-Standard deviation,J=V*A-Mean day of the month,J=V*A-Fraction of daylight observations,K=U*Q-S1,K=U*Q-Median,K=U*Q-S5,K=U*Q-Mean,K=U*Q-Observation number,K=U*Q-Standard deviation,K=U*Q-Mean day of the month,K=U*Q-Fraction of daylight observations,L=V*Q-S1,L=V*Q-Median,L=V*Q-S5,L=V*Q-Mean,L=V*Q-Observation number,L=V*Q-Standard deviation,L=V*Q-Mean day of the month,L=V*Q-Fraction of daylight observations,M=(QS-Q)*U-S1,M=(QS-Q)*U-Median,M=(QS-Q)*U-S5,M=(QS-Q)*U-Mean,M=(QS-Q)*U-Observation number,M=(QS-Q)*U-Standard deviation,M=(QS-Q)*U-Mean day of the month,M=(QS-Q)*U-Fraction of daylight observations,N=(QS-Q)*V-S1,N=(QS-Q)*V-Median,N=(QS-Q)*V-S5,N=(QS-Q)*V-Mean,N=(QS-Q)*V-Observation number,N=(QS-Q)*V-Standard deviation,N=(QS-Q)*V-Mean day of the month,N=(QS-Q)*V-Fraction of daylight observations,B1=W*W*W-S1,B1=W*W*W-Median,B1=W*W*W-S5,B1=W*W*W-Mean,B1=W*W*W-Observation number,B1=W*W*W-Standard deviation,B1=W*W*W-Mean day of the month,B1=W*W*W-Fraction of daylight observations,B2=W*W*W-S1,B2=W*W*W-Median,B2=W*W*W-S5,B2=W*W*W-Mean,B2=W*W*W-Observation number,B2=W*W*W-Standard deviation,B2=W*W*W-Mean day of the month,B2=W*W*W-Fraction of daylight observations
1826,7,19.0,-37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,15.4,15.4,15.4,1,0.0,20,1.0,14.73,14.73,14.73,14.73,1,0.0,20,1.0,-4.5,-4.5,-4.5,-4.5,1,0.0,20,1.0,1009.37,1015.85,1024.42,1016.07,6,8.24,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,7,19.0,-35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,6.7,19.0,9.45,10,7.3,14,0.6,-5.35,-1.21,12.53,2.81,10,9.18,14,0.6,-9.74,-1.35,0.0,-3.92,10,6.51,14,0.6,1019.4,1019.4,1019.4,1019.4,1,0.0,28,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,7,21.0,-37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,6.7,15.57,8.9,7,6.24,16,0.7,-11.24,-2.49,4.94,-2.64,7,9.3,16,0.7,-6.39,-2.72,0.99,-2.83,7,5.23,16,0.7,1007.56,1009.0,1021.66,1012.99,7,10.96,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,7,21.0,-35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.6,9.01,5.23,11,6.85,16,0.9,0.74,0.98,8.55,4.45,11,6.28,16,0.9,-0.29,0.47,2.76,0.17,11,3.97,16,0.9,1019.1,1028.7,1030.45,1025.07,6,8.43,18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,7,23.0,-37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,6.7,7.46,6.39,7,7.77,10,0.6,-0.3,0.0,6.67,4.19,7,8.02,10,0.6,-6.61,-0.96,0.15,-2.61,7,3.9,10,0.6,1000.58,1005.85,1014.27,1007.87,6,8.48,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,7,23.0,-35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.7,6.7,6.7,1,0.0,16,1.0,6.44,6.44,6.44,6.44,1,0.0,16,1.0,-1.85,-1.85,-1.85,-1.85,1,0.0,16,1.0,1030.1,1030.1,1030.1,1030.1,1,0.0,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,7,25.0,-37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,19.0,19.0,19.0,2,0.0,6,1.0,16.16,17.05,17.94,17.05,2,1.84,6,1.0,-9.72,-7.77,-5.82,-7.77,2,4.04,6,1.0,1009.83,1009.9,1012.84,1011.3,3,2.51,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,7,25.0,-35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85,12.85,20.61,13.47,6,9.47,10,0.7,3.29,9.09,19.81,10.78,6,10.3,10,0.7,-8.64,-4.99,-4.02,-6.13,6,4.08,10,0.7,1012.57,1029.7,1029.97,1021.47,3,14.61,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,7,27.0,-37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,6.7,20.42,11.5,3,13.55,16,1.0,-0.05,0.82,18.42,8.99,3,15.27,16,1.0,-4.82,-0.89,1.95,-1.42,3,4.98,16,1.0,1007.39,1016.4,1020.7,1014.1,3,9.95,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,7,27.0,-35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,6.7,22.8,11.33,7,9.44,12,1.0,-0.68,2.51,4.44,2.77,7,11.0,12,1.0,-9.05,-6.21,4.03,-3.54,7,9.71,12,1.0,1013.98,1027.0,1035.89,1025.03,4,13.77,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,7,29.0,-35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.7,6.7,6.7,1,0.0,2,1.0,3.25,3.25,3.25,3.25,1,0.0,2,1.0,-5.86,-5.86,-5.86,-5.86,1,0.0,2,1.0,1008.15,1011.7,1015.25,1011.7,2,7.35,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,7,29.0,-33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,4.75,12.29,7.38,4,7.95,12,0.8,-9.14,-2.89,-1.13,-5.03,4,5.81,12,0.8,-9.28,-2.54,0.49,-4.31,4,6.58,12,0.8,1026.56,1027.55,1028.54,1027.55,2,2.05,18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,7,31.0,-37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,9.3,9.3,9.3,1,0.0,24,1.0,8.05,8.05,8.05,8.05,1,0.0,24,1.0,4.65,4.65,4.65,4.65,1,0.0,24,1.0,1018.96,1020.15,1021.34,1020.15,2,2.47,22,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,7,31.0,-35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,12.3,12.3,12.3,1,0.0,6,1.0,11.82,11.82,11.82,11.82,1,0.0,6,1.0,-3.39,-3.39,-3.39,-3.39,1,0.0,6,1.0,1005.7,1005.7,1005.7,1005.7,1,0.0,6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,7,31.0,-33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,7.41,3.98,5,4.91,4,0.6,0.55,1.0,7.33,3.73,5,4.97,4,0.6,0.0,0.71,1.47,0.8,5,0.96,4,0.6,1030.1,1030.1,1030.1,1030.1,1,0.0,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,7,31.0,-31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.6,2.6,2.6,1,0.0,24,1.0,-1.99,-1.99,-1.99,-1.99,1,0.0,24,1.0,1.67,1.67,1.67,1.67,1,0.0,24,1.0,1022.8,1022.8,1022.8,1022.8,1,0.0,24,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,7,33.0,-33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,4.65,6.05,4.65,2,2.9,8,1.0,0.42,2.86,5.3,2.86,2,5.06,8,1.0,-2.4,-2.17,-1.95,-2.17,2,0.46,8,1.0,1024.94,1025.9,1026.86,1025.9,2,1.98,8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
